time [s]	pitch[degree/s]	yaw[degree/s]	roll[degree/s]	altitude[km]	long[degrees]	latd[degrees]	thrust[kN]
   1.7000000e+00  -2.4871508e-08  -1.2760150e-01  -5.0006572e+01   7.4414981e-02   1.6018840e+01   6.9294097e+01   4.8172212e+05
   1.7100000e+00  -3.3684662e-08  -1.2760150e-01  -5.0006611e+01   7.4762088e-02   1.6018840e+01   6.9294097e+01   4.8171063e+05
   1.7200000e+00  -3.2738469e-08  -1.2760151e-01  -5.0006650e+01   7.5111355e-02   1.6018840e+01   6.9294097e+01   4.8169956e+05
   1.7300000e+00  -2.0078581e-08  -1.2760151e-01  -5.0006689e+01   7.5462783e-02   1.6018840e+01   6.9294097e+01   4.8168915e+05
   1.7400000e+00  -3.6913555e-09  -1.2760151e-01  -5.0006728e+01   7.5816372e-02   1.6018840e+01   6.9294097e+01   4.8167916e+05
   1.7500000e+00   6.4434506e-09  -1.2760152e-01  -5.0006767e+01   7.6172123e-02   1.6018840e+01   6.9294097e+01   4.8166925e+05
   1.7600000e+00   4.5544321e-09  -1.2760152e-01  -5.0006806e+01   7.6530035e-02   1.6018840e+01   6.9294097e+01   4.8165924e+05
   1.7700000e+00  -5.7404300e-09  -1.2760152e-01  -5.0006845e+01   7.6890109e-02   1.6018840e+01   6.9294097e+01   4.8164928e+05
   1.7800000e+00  -1.9550842e-08  -1.2760153e-01  -5.0006884e+01   7.7252346e-02   1.6018840e+01   6.9294097e+01   4.8163959e+05
   1.7900000e+00  -3.1871713e-08  -1.2760153e-01  -5.0006923e+01   7.7616746e-02   1.6018840e+01   6.9294097e+01   4.8163025e+05
   1.8000000e+00  -3.7518430e-08  -1.2760153e-01  -5.0006962e+01   7.7983309e-02   1.6018840e+01   6.9294097e+01   4.8162116e+05
